light,temperature,moisture,conductivity,battery,registDay
372,30.3,44,440,100,01/06/23
420,32.3,50,500,100,02/06/23
635,35.2,44,480,100,03/06/23
739,26.1,56,653,100,04/06/23
700,27.1,74,762,100,05/06/23
689,27.4,76,813,100,06/06/23
655,25.2,68,820,100,07/06/23
715,26.1,70,787,100,08/06/23
750,26.6,72,856,100,09/06/23
720,28.0,69,845,100,10/06/23
706,26.7,73,794,100,11/06/23
673,25.5,77,865,100,12/06/23
693,27.7,74,876,100,13/06/23
748,28.2,80,917,100,14/06/23
705,28.2,78,900,100,15/06/23
687,26.8,67,912,100,16/06/23
645,27.4,65,906,100,17/06/23
765,28.1,75,879,100,18/06/23
734,27.6,76,887,100,19/06/23
678,28.5,72,913,100,20/06/23
642,28.3,73,860,100,21/06/23
704,28.2,80,888,100,22/06/23
720,27.7,69,894,100,23/06/23
680,28.0,75,908,100,24/06/23
689,28.3,71,911,100,25/06/23
727,27.4,77,916,100,26/06/23
734,27.8,74,904,100,27/06/23
402,29.2,35,571,100,30/06/23
